Bat,Rotor,Height,ResPolBat,ResPolRot,desC,operC,resC,c1,c2,c3,c_cum
1,0,60,1,1,300,-14102052.16177801,19289.118114252968,0,0,0,0
1,0,70,1,1,300,-14038105.959186628,18880.23190804345,0,0,0,0
1,0,80,1,1,300,-12175295.774102265,15333.023309693868,0,0,0,0
1,0,90,1,1,300,-13722536.973362884,15190.34078898244,0,0,0,0
1,0,100,1,1,300,-13968585.799450526,15025.700952707124,0,0,0,0
1,0,110,1,1,300,-13915305.973271817,14872.055249388191,0,0,1,1
1,0,120,1,1,300,-13862815.10199388,14707.389577842523,0,0,1,1
1,1,10,1,1,1300,232051647.73157904,31870.85156130389,1,1,0,1
1,1,20,1,1,1300,227047457.46868485,30936.29486080544,1,1,0,1
1,1,30,1,1,1300,7959935.559952007,29924.00858832648,1,1,0,1
1,1,40,1,1,1300,-12150200.820529787,21652.388012141826,0,0,0,0
1,1,50,1,1,1300,-12868156.568123717,21160.249927553297,0,0,0,0
1,1,60,1,1,1300,-14102052.16177801,19307.244880606024,0,0,0,0
1,1,70,1,1,1300,-14038105.959186628,18891.12164853159,0,0,0,0
1,1,80,1,1,1300,-12175295.774102265,15392.482739828738,0,0,0,0
1,1,90,1,1,1300,-13722536.973362884,15247.276781704433,0,0,0,0
1,1,100,1,1,1300,-13968585.799450526,15079.723270865272,0,0,0,0
1,1,110,1,1,1300,-13915305.973271817,14923.358108556837,0,0,1,1
1,1,120,1,1,1300,-13862815.10199388,14755.777935313705,0,0,1,1
1,2,10,1,1,2300,233251647.70474198,32635.202931300824,1,1,0,1
1,2,20,1,1,2300,229647457.46524245,31678.89017810098,1,1,0,1
1,2,30,1,1,2300,225830057.11224902,31416.39936257117,1,1,0,1
1,2,40,1,1,2300,8349799.179470213,30421.68539782266,1,1,0,1
1,2,50,1,1,2300,7631843.431876282,29381.736096210716,1,1,0,1
1,2,60,1,1,2300,5897947.83822199,19776.17164695908,1,1,0,1
1,2,70,1,1,2300,5961894.040813371,19842.81138901973,1,1,0,1
1,2,80,1,1,2300,-12175295.774102265,16143.386614408057,0,0,0,0
1,2,90,1,1,2300,-13722536.973362884,15995.657218870874,0,0,0,0
1,2,100,1,1,2300,-13968585.799450526,15825.190033467861,0,0,0,0
1,2,110,1,1,2300,-13915305.973271817,15666.105412169929,0,0,1,1
1,2,120,1,1,2300,-13862815.10199388,15495.610737229334,0,0,1,1
2,0,10,1,1,300,230001647.7715793,29425.06480241787,1,1,0,1
2,0,20,1,1,300,8049014.294391232,28535.216594798276,1,1,0,1
2,0,30,1,1,300,-13040064.440047994,27540.485645946406,0,0,0,0
2,0,40,1,1,300,-12150200.820529787,18206.552790325368,0,0,0,0
2,0,50,1,1,300,-12868156.568123717,17722.97238032839,0,0,0,0
2,0,60,1,1,300,-14102052.16177801,16209.118114252973,0,0,0,0
2,0,70,1,1,300,-14038105.959186628,15800.231908043444,0,0,0,0
